etablissement,contreventions
SOURCE DE VIE ANTILLAIS,2
RESTAURANT TAY DO,2
PIZZERIA MORETTI,2
RESTAURANT PHO NGOC TUAN,2
RESTAURANT CHINOIS HAOHAO,2
LA REINE PATISSIERE,2
AQUA LUNCH,2
LA PIZZERIA 4 FRERES EXPRESS,2
MAISON DU EGG ROLL & LE PAPRIKA,2
PROVIDENCE SAINT-DOMINIQUE 1215,2
MARCHE CORDOBA,2
VINNIE GAMBINI,2
ROYAL PATATE,2
9257-9325 QUEBEC INC. (CHUCHAI),2
THAI EXPRESS & OBURGER,2
RESTAURANT LE BEARN,2
SUBWAY LA RONDE,2
BISTRO ADRIATICA,2
RESTAURANT COPOLI,2
CHARCUTERIE CAZA,2
AU BON CAFÉ,2
MON CHICHA BISTRO,2
CHOCOLATERIE LEONIDAS,2
RESTAURANT JONAS,2
MARCHE DU CHEF,2
METRO PLUS DOLLARD,2
MARCHE D'AFRIQUE,2
PATISSERIE MOLISANA,2
CORA SAINT-LAURENT,2
RESTO LES SAISONS DE COREE,2
RESTO B.B.Q. THAI SON,2
RESTAURANT TOKYO SUSHI-BAR VIEUX PORT,2
ENTREPRISES VANA INC. (MC DONALD'S),2
CAFE ROI SOLAIRE (CAFE ASIA PLUS),2
CHARCUTERIE AMSELLEM SAINT-LAURENT,2
RESTAURANT AZIR,2
RESTAURANT HACHOIR,2
TUTTI FRUTTI PLACE DUPUIS,2
COTE SAINT-LUC B.B.Q.,2
DOUBLE PIZZA NORMANDIE,2
CAFE VIENNE,2
PHO BAC 97,2
PIZZA SICILY,2
BRASSERIE 321,2
SUPERMARCHE CACHERE ONE STOP,2
AILES BUFFALO BILL,2
SUSHI SAMA FUSION 1,2
VINO ROSSO (BUFFET CRYSTAL),2
LES PETITES BAGUETTES PLUS,2
GUSTAVE,2
PLOUGASTEL,2
MAISON BONG,2
SOUVLAKI BAR,2
LA BRASSERIE ST-DENIS,2
RESTAURANT KULJIT INDIA,2
RESTAURANT BANH MI MADAME LY,2
RESTAURANT NAM QUAN,2
BAGEL DE L'OUEST,2
LA MAISON HO,2
CHEZ DANIEL (BOULANGERIE KASHER),2
RESTAURANT PHO MYMY,2
HOUSTON (US-77),2
POUTINE EN FOLIE,2
JUS JUGO JUICE,2
VARIETE DEPANNEUR UNIK,2
3 AMIGOS  RESTO/BAR,2
RESTAURANT LA CARRETA,2
LAITUE & GO INC.,2
"LE PETIT COIN, EPICERIE",2
V ET V CAFE,2
PUB ST-PAUL,2
LES ALIMENTS ESPOSITO,2
E. BOURDON ET FILS,2
T.A.B. CAFE RESTAURANT,2
RESTAURANT GUS,2
RESTAURANT FOREST,2
MANGUE ET MELON,2
GARDERIE GAN OR,2
MARCHE 27,2
PATISSERIE LAJEUNESSE,2
KORYO KOREAN BBQ,2
POUTINEVILLE,2
LE CRISTAL CHINOIS,2
WOKTOGO,2
VIP BOULANGERIE RESTAURANT,2
RESTAURANT JIMMY,2
CAFE PARVIS,2
CULTURES PLACE FELIZ MARTIN,2
PIZZA MADONA,2
RESTAURANT CARTE BLANCHE,2
DOBE AND ANDY,2
LA FLAMBERGE,2
BOUCHERIE AUX DEUX GAULOIS,2
RESTAURANT GRILLADES & SUSHIS,2
BOUCHERIE WALIMA,2
O.-C.-N. IMPORT,2
CAFE TUNIS,2
PUB MC LEAN /MC LEAN'S PUB,2
RESTAURANT U CAN,2
MAISON INDIAN CURRY,2
NEW MONDO CAFE,2
RIZ ET NOUILLES,2
ALLO MON COCO,2
RESTAURANT NOUVEAU DELHI EXPRESS,2
LE PUB DU METRO,2
CAFE INTERNATIONAL,2
RESTAURANT TAY DO 2013,2
MONSIEUR HOT DOG PLUS,2
DESI DERA RESTAURANT,2
BOULANGERIE PATISSERIE CHEZ ANA,2
RESTAURANT KURDE,2
LA VIDA CASSE-CROUTE CREOLE,2
MARCHE AL-MUBARAK,2
RESTAURANT LA LUMIERE DE L'INDE,2
CHEMIN FAISANT,2
CUISINE INDIENNE SUCREE MALHI,2
RESTAURANT A QUINTA,2
TIM HORTONS,2
KIEN VINH TRADING INC.,2
MAGASIN LA BAIE DES FROMAGES CANADA,2
NOS THES & CAFES,2
RESTAURANT KIM FAY,2
RESTAURANT DIRTY DOGS MONT ROYAL,2
SABRA 5 ETOILES,2
MARCHE A TUNIS,2
RESTAURANT CHAND PALACE INDIEN,2
BOULANGERIE ET TRAITEUR APPAS,2
LE RESTO DU VILLAGE,2
RESTAURANT PARIS PHO,2
MUFFINS PLUS,2
RESTAURANT BOMBAY TANDOORI,2
RESTAURANT SHAHI RASOI,2
RESTAURANT FERRARI,2
PATISSERIE BOULANGERIE EFES INC.,2
RESTAURANT FORNARINA,2
SABOR LATINO  (1),2
CULTURES ET THAI EXPRESS,2
BEAUBIEN BAGEL,2
NOUVEAU RESTO MAK MAK,2
BOULANGERIE & PATISSERIE ALKARAM,2
AL-BAGHDADI,2
RESTAURANT CHEF GURU G,2
AU VIEUX DULUTH EXPRESS,2
YAMASA SUSHI,2
RESTAURANT LA JOIE,2
RESTO CAFE ROYAL,2
SILVER DRAGON II,2
RESTAURANT PAULO ET SUZANNE,2
e1,1
RESTAURANT TANDOORI BELLEVUE,1
LES DELICES DU MAGHREB,1
MAIKO SUSHI DES SOURCES,1
RESTAURANT BLOOMFIELD,1
CUISINE EPICEE,1
PREMIERE FONDUE,1
PATE COLOCCIA,1
BIO SOURCE WESTMOUNT,1
FRUITERIE SHAANA,1
CHARCUTERIE FAIRMOUNT,1
RESTAURANT DEJEUNER LA TERRASSE,1
REAL BAGEL,1
CAFE EXPRESSION,1
CHARCUTERIE EUROPE,1
THAIRIFFIC CUISINE THAILANDAISE,1
CAFE SABLE D'OR,1
RESTAURANT ROYAL TANDOORI EXPRESS,1
BON MARCHE,1
CAFE DAYLIGHT,1
RESTAURANT CHEZ LIEN PLUS,1
PIZZA SHERBROOKE,1
LA MATRACA,1
RESTAURANT EL CHALATECO,1
RESTAURANT LA KHAIMA,1
MARCHE JASMIN,1
RESTAURANT RAJASTAN,1
RESTAURANT LA MER JAUNE,1
THAI IMAGINATION,1
RESTAURANT ARZOU EXPRESS,1
RESTAURANT TAO/ ICHING,1
LA MAISON DE LA TORREFACTION,1
RESTAURANT MIKES ROSEMONT,1
MATSUNO SUSHI FUSION,1
MEX TORADDOS,1
POISSONNERIE CARTIERVILLE,1
RESTAURANT LE SURFIN,1
9518452 CANADA CORPORATION (LA BELLE PROVINCE DORVAL),1
CENTRALE BERGHAM,1
BURGER KING,1
RESTAURANT LA MAISON KUM MON,1
MAMA SOFIA,1
LE RITZ PATISSERIE BOULANGERIE,1
SOLLY'S,1
RESTAURANT MIKADO ST-DENIS,1
FESTIVAL PHILIPPINES BOULANGERIE,1
POISSONNERIE ET RESTAURANT RAYAN,1
RESTAURANT ASIE MODERNE,1
RESTAURANT KANDA SUSHI,1
BOUCHERIE DES TREMBLES,1
PIZZA PROVOST,1
CORALLI,1
CHARCUTERIE LE CARTIER INC.,1
RESTAURANT ARAHOVA ST-VIATEUR,1
PATISSERIE ROCOCO,1
CARLOS CALIFORNIA PIZZA,1
RESTAURANT SHO-DAN,1
RESTAURANT TORA SUSHI,1
PATISSERIE ET CHARCUTERIE BOURRET,1
RESTAURANT FRONTLINE,1
RESTAURANT GREENSPOT,1
RESTAURANT FU JIA,1
TABAGIE METRO HONORE-BEAUGRAND,1
CULTURES - PLACE VERTU,1
TRAITEUR EVOO SANTE,1
SHUCK ME (EVS),1
C.THAI,1
L'ORCHIDEE DE CHINE,1
MC DONALD,1
MARCHE KIM PO,1
MARIEPAIN,1
FRUITS DE MER DS,1
DEPANNEUR GRAVEL 11 M,1
MARCHE COMMENT ALLEZ-VOUS TOUT LE MONDE,1
CALISTOGA GRILL,1
BISTRO BELGE LE COMME CHEZ SOI,1
RESTAURANT THALI,1
RESTAURANT L'ESCALE,1
L'ART DU HAMBURGER,1
